detection_id,rater_id,rating,note,rated_at,scorer_version,pattern_value,asset,breakout_ts
5201da47d480,claude,50,highs slightly descending; only mild ascending support,2026-05-05T06:37:49+00:00,1.0.0,ascending_triangle,AAPL,2015-04-13T00:00:00+00:00
33f87fd958e9,claude,30,only one clear low pivot; structure incomplete,2026-05-05T06:37:49+00:00,1.0.0,ascending_triangle,GOOGL,2008-06-05T00:00:00+00:00
c38ba2753cb2,claude,65,flat top good; clean ascending support; short but solid,2026-05-05T06:37:49+00:00,1.0.0,ascending_triangle,MSFT,1990-06-20T00:00:00+00:00
5a53b6e23955,claude,40,highs flat but lows essentially flat too — closer to a rectangle,2026-05-05T06:37:49+00:00,1.0.0,ascending_triangle,MSFT,1997-03-18T00:00:00+00:00
56bf76fe9f91,claude,45,flat top good; ascending support barely there,2026-05-05T06:37:49+00:00,1.0.0,ascending_triangle,QQQ,2012-07-30T00:00:00+00:00
dd26479314db,claude,70,"3 flat highs, 2 mild ascending lows, ~6wk solid",2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,SPY,2015-04-15T00:00:00+00:00
e8489936ed46,claude,50,"highs slightly descending, lows nearly flat",2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,SPY,2016-10-10T00:00:00+00:00
07ba3fc2f9b4,claude,75,"textbook flat top at 250, clear ascending lows",2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,SPY,2018-12-03T00:00:00+00:00
3ddfd587d7ed,claude,50,"flat highs but lows nearly flat too, short",2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,AMZN,2015-06-11T00:00:00+00:00
10f6a117fb93,claude,30,only 1 low — V-bottom not triangle,2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,MSFT,2008-09-29T00:00:00+00:00
6e7c66c3a97c,claude,45,"erratic shape, mild ascent",2026-05-05T06:39:44+00:00,1.0.0,ascending_triangle,SPY,1993-11-29T00:00:00+00:00
4c1c6bde4d44,claude,30,2nd high 10% below first — not desc tri shape,2026-05-05T06:39:44+00:00,1.0.0,descending_triangle,GOOGL,2022-03-08T00:00:00+00:00
342232a0832f,claude,65,"2 descending highs, 3 flat lows, decent",2026-05-05T06:39:44+00:00,1.0.0,descending_triangle,META,2016-12-30T00:00:00+00:00
d76b8c6ef959,claude,60,"flat-ish highs, flat lows, only 2 highs",2026-05-05T06:39:44+00:00,1.0.0,descending_triangle,SPY,2026-02-17T00:00:00+00:00
836547e9ed59,claude,60,"descending highs, flat lows, short proportional",2026-05-05T06:39:44+00:00,1.0.0,descending_triangle,AMZN,2023-08-03T00:00:00+00:00
60eb7a55140c,claude,60,"desc tri: 2 descending highs, 3 flat lows, reasonable",2026-05-05T06:42:32+00:00,1.0.0,descending_triangle,NVDA,2024-07-18T00:00:00+00:00
b2d57b746ca4,claude,35,DB lows matched but only 8 days apart — too compressed,2026-05-05T06:42:32+00:00,1.0.0,double_bottom,AAPL,2026-04-07T00:00:00+00:00
03032f22b753,claude,60,"DB lows matched, ~3wk, decent rally between",2026-05-05T06:42:32+00:00,1.0.0,double_bottom,QQQ,2012-09-26T00:00:00+00:00
322916eb8f63,claude,45,"DB lows matched but ~2wk, very compressed",2026-05-05T06:42:32+00:00,1.0.0,double_bottom,SPY,2001-06-26T00:00:00+00:00
76cb3e915728,claude,40,"DB lows matched, very short ~2wk, cramped",2026-05-05T06:42:32+00:00,1.0.0,double_bottom,NVDA,1999-06-18T00:00:00+00:00
087a385e4d69,claude,65,"DB lows match, 7% rally between, ~5wk well-proportioned",2026-05-05T06:42:32+00:00,1.0.0,double_bottom,META,2016-12-30T00:00:00+00:00
37195371719b,claude,55,DB lows match in downtrend; 22% rally between but mid-trend,2026-05-05T06:42:32+00:00,1.0.0,double_bottom,QQQ,2000-05-10T00:00:00+00:00
dac12fb6eafb,claude,55,DB lows match in uptrend — brief consolidation not reversal,2026-05-05T06:42:32+00:00,1.0.0,double_bottom,TSLA,2020-08-11T00:00:00+00:00
29955864e2bd,claude,60,"DB lows match, ~3wk decent",2026-05-05T06:42:32+00:00,1.0.0,double_bottom,META,2016-12-01T00:00:00+00:00
